Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC
Logistic Regression,0.8505283799978212,0.5397698849424712,0.15372560193759796,0.2392991794189399,0.8101892136847084,0.4142018188774394
Decision Tree,0.8519882340124196,0.5677458033573142,0.1349195042028779,0.2180269368021181,0.8041544787793294,0.4172133523778969
Random Forest,0.8540799651378146,0.6306818181818182,0.11069952984755663,0.18834080717488788,0.8154671082903298,0.44209100374862514
XGBoost,0.8555180302865236,0.5966135458167331,0.17067958398632282,0.26542594438905504,0.8183843935223754,0.4448324225038132
