Model,Mean_Accuracy,Mean_Precision,Mean_Recall,Mean_F1,Mean_ROC_AUC,Std_ROC_AUC,Mean_PR_AUC,Std_PR_AUC,Evaluation_Split
Logistic Regression,0.865529409542059,0.5628364852904818,0.15613361771948323,0.24443303605257422,0.8250186559125483,0.001594903840581451,0.41630421314475996,0.005178958771073229,5-Fold CV Development
Decision Tree,0.86432711201802,0.5509232028379405,0.1417403957144483,0.22539182705277563,0.8168675564662105,0.0025462766808680287,0.401547700612695,0.006450867196341503,5-Fold CV Development
Random Forest,0.8664804101237348,0.6130482901209835,0.1133427503417261,0.19128612199277578,0.8271328542189244,0.002386015147188834,0.4301360983009569,0.00695807996453313,5-Fold CV Development
XGBoost,0.8671062007766912,0.5804953379156705,0.1664598926736175,0.2587044398800515,0.8304960192255288,0.0021418082420174914,0.4359076877819654,0.007735989401529129,5-Fold CV Development
